id,drug_name,generic_name,drug_strength,dosage_type,clinic
4943,Metformin,Cetirizine,5ml,Syrup,6419
4944,Ibuprofen,Ibuprofen,5ml,Tablet,12144
4945,Amoxicillin,Cetirizine,500mg,Capsule,11865
4946,Ibuprofen,Amoxicillin,650mg,Capsule,1942
4947,Aspirin,Amoxicillin,650mg,Syrup,2178
4948,Aspirin,Amoxicillin,250mg,Capsule,8423
4949,Aspirin,Ibuprofen,250mg,Injection,13340
4950,Cetirizine,Paracetamol,250mg,Syrup,15700
4951,Metformin,Metformin,250mg,Syrup,17019
4952,Aspirin,Aspirin,650mg,Capsule,8118
4953,Ibuprofen,Paracetamol,500mg,Injection,12085
4954,Metformin,Amoxicillin,500mg,Capsule,8387
4955,Cetirizine,Aspirin,650mg,Capsule,8664
4956,Amoxicillin,Aspirin,500mg,Syrup,58
4957,Cetirizine,Amoxicillin,500mg,Tablet,3757
4958,Ibuprofen,Amoxicillin,250mg,Injection,12277
4959,Metformin,Ibuprofen,250mg,Injection,13952
4960,Ibuprofen,Paracetamol,5ml,Tablet,12831
4961,Metformin,Paracetamol,5ml,Injection,14145
4962,Ibuprofen,Cetirizine,500mg,Tablet,3587
4963,Metformin,Amoxicillin,500mg,Tablet,3762
4964,Aspirin,Ibuprofen,5ml,Injection,3469
4965,Amoxicillin,Amoxicillin,5ml,Tablet,5005
4966,Aspirin,Aspirin,500mg,Capsule,17498
4967,Amoxicillin,Amoxicillin,5ml,Injection,3455
4968,Aspirin,Aspirin,500mg,Tablet,19687
4969,Paracetamol,Aspirin,650mg,Syrup,12053
4970,Ibuprofen,Paracetamol,250mg,Capsule,15632
4971,Ibuprofen,Aspirin,650mg,Tablet,5339
4972,Cetirizine,Paracetamol,250mg,Injection,19443
4973,Ibuprofen,Ibuprofen,650mg,Capsule,13154
4974,Amoxicillin,Metformin,650mg,Injection,1909
4975,Amoxicillin,Paracetamol,5ml,Capsule,4615
4976,Ibuprofen,Aspirin,500mg,Syrup,2846
4977,Paracetamol,Metformin,250mg,Injection,1248
4978,Paracetamol,Cetirizine,650mg,Syrup,4447
4979,Cetirizine,Amoxicillin,500mg,Syrup,2500
4980,Cetirizine,Paracetamol,650mg,Injection,10682
4981,Ibuprofen,Amoxicillin,250mg,Tablet,13315
4982,Ibuprofen,Aspirin,500mg,Tablet,6260
4983,Cetirizine,Aspirin,250mg,Syrup,14563
4984,Cetirizine,Cetirizine,250mg,Tablet,13910
4985,Aspirin,Aspirin,650mg,Injection,7264
4986,Paracetamol,Ibuprofen,250mg,Capsule,17991
4987,Metformin,Aspirin,500mg,Injection,7179
4988,Metformin,Paracetamol,250mg,Capsule,4746
4989,Amoxicillin,Aspirin,500mg,Injection,9654
4990,Amoxicillin,Paracetamol,650mg,Tablet,19212
4991,Metformin,Paracetamol,650mg,Capsule,17671
4992,Aspirin,Aspirin,650mg,Syrup,17653
4993,Aspirin,Metformin,5ml,Tablet,13349
4994,Paracetamol,Cetirizine,5ml,Tablet,7476
4995,Ibuprofen,Aspirin,650mg,Injection,241
4996,Amoxicillin,Ibuprofen,500mg,Capsule,6981
4997,Cetirizine,Metformin,500mg,Syrup,4906
4998,Aspirin,Cetirizine,250mg,Syrup,4998
4999,Cetirizine,Aspirin,5ml,Injection,13863
5000,Paracetamol,Aspirin,250mg,Injection,12132
5001,Metformin,Paracetamol,500mg,Capsule,9056
5002,Paracetamol,Ibuprofen,500mg,Syrup,5297
5003,Cetirizine,Paracetamol,500mg,Injection,14019
5004,Aspirin,Ibuprofen,500mg,Syrup,15646
5005,Ibuprofen,Metformin,500mg,Injection,11311
5006,Metformin,Ibuprofen,5ml,Syrup,14456
5007,Amoxicillin,Aspirin,250mg,Capsule,7883
5008,Metformin,Aspirin,650mg,Capsule,10805
5009,Ibuprofen,Paracetamol,500mg,Injection,15006
5010,Paracetamol,Cetirizine,650mg,Tablet,13113
5011,Ibuprofen,Metformin,250mg,Injection,4377
5012,Metformin,Ibuprofen,500mg,Injection,3716
5013,Aspirin,Amoxicillin,250mg,Tablet,1525
5014,Aspirin,Metformin,500mg,Tablet,8002
5015,Amoxicillin,Aspirin,650mg,Injection,13580
5016,Paracetamol,Cetirizine,650mg,Injection,13665
5017,Amoxicillin,Ibuprofen,250mg,Syrup,2934
5018,Paracetamol,Paracetamol,250mg,Injection,1686
5019,Cetirizine,Cetirizine,5ml,Injection,13671
5020,Aspirin,Aspirin,500mg,Syrup,13411
5021,Cetirizine,Ibuprofen,5ml,Injection,19123
5022,Metformin,Ibuprofen,500mg,Injection,1502
5023,Cetirizine,Metformin,5ml,Syrup,12836
5024,Ibuprofen,Ibuprofen,5ml,Syrup,9870
5025,Amoxicillin,Amoxicillin,500mg,Syrup,8223
5026,Metformin,Amoxicillin,5ml,Injection,18786
5027,Cetirizine,Metformin,250mg,Capsule,6553
5028,Amoxicillin,Cetirizine,650mg,Capsule,12245
5029,Amoxicillin,Metformin,500mg,Syrup,6268
5030,Paracetamol,Cetirizine,650mg,Injection,1677
5031,Aspirin,Ibuprofen,250mg,Syrup,10057
5032,Aspirin,Ibuprofen,5ml,Tablet,15140
5033,Aspirin,Amoxicillin,5ml,Tablet,12123
5034,Ibuprofen,Amoxicillin,650mg,Injection,3539
5035,Metformin,Ibuprofen,5ml,Capsule,1940
5036,Ibuprofen,Ibuprofen,500mg,Tablet,3959
5037,Paracetamol,Amoxicillin,250mg,Injection,1814
5038,Paracetamol,Cetirizine,650mg,Capsule,2921
5039,Paracetamol,Aspirin,250mg,Syrup,10159
5040,Amoxicillin,Ibuprofen,500mg,Injection,3636
5041,Ibuprofen,Cetirizine,500mg,Syrup,7308
5042,Metformin,Ibuprofen,500mg,Capsule,14545
5043,Metformin,Cetirizine,500mg,Syrup,6404
5044,Amoxicillin,Cetirizine,5ml,Injection,13769
5045,Paracetamol,Aspirin,500mg,Injection,3942
5046,Cetirizine,Ibuprofen,500mg,Syrup,12917
5047,Metformin,Amoxicillin,500mg,Capsule,11431
5048,Metformin,Cetirizine,500mg,Capsule,4389
5049,Metformin,Paracetamol,650mg,Injection,14695
5050,Cetirizine,Amoxicillin,650mg,Syrup,15790
5051,Ibuprofen,Amoxicillin,5ml,Capsule,8397
5052,Ibuprofen,Metformin,650mg,Capsule,2893
5053,Amoxicillin,Paracetamol,500mg,Tablet,18943
5054,Paracetamol,Paracetamol,500mg,Injection,3278
5055,Paracetamol,Metformin,250mg,Injection,13675
5056,Aspirin,Ibuprofen,650mg,Syrup,8666
5057,Cetirizine,Cetirizine,650mg,Syrup,5524
5058,Cetirizine,Paracetamol,650mg,Injection,9352
5059,Cetirizine,Metformin,5ml,Injection,339
5060,Metformin,Aspirin,250mg,Tablet,9222
5061,Amoxicillin,Amoxicillin,250mg,Injection,11467
5062,Amoxicillin,Ibuprofen,250mg,Capsule,14584
5063,Cetirizine,Paracetamol,650mg,Capsule,14600
5064,Metformin,Aspirin,250mg,Capsule,18585
5065,Ibuprofen,Ibuprofen,5ml,Injection,3921
5066,Metformin,Paracetamol,5ml,Injection,3215
5067,Ibuprofen,Cetirizine,5ml,Injection,18171
5068,Cetirizine,Amoxicillin,250mg,Syrup,5426
5069,Cetirizine,Amoxicillin,5ml,Syrup,11626
5070,Aspirin,Ibuprofen,650mg,Capsule,8640
5071,Paracetamol,Amoxicillin,650mg,Injection,16692
5072,Cetirizine,Amoxicillin,650mg,Tablet,152
5073,Amoxicillin,Ibuprofen,650mg,Injection,7032
5074,Cetirizine,Cetirizine,500mg,Syrup,17429
5075,Paracetamol,Aspirin,250mg,Tablet,14755
5076,Metformin,Amoxicillin,650mg,Syrup,15116
5077,Cetirizine,Paracetamol,650mg,Capsule,16889
5078,Amoxicillin,Aspirin,650mg,Tablet,8854
5079,Amoxicillin,Cetirizine,650mg,Injection,17759
5080,Metformin,Cetirizine,5ml,Injection,6245
5081,Amoxicillin,Aspirin,650mg,Capsule,7761
5082,Aspirin,Paracetamol,250mg,Syrup,3709
5083,Ibuprofen,Metformin,500mg,Syrup,5805
5084,Metformin,Aspirin,5ml,Capsule,25
5085,Ibuprofen,Ibuprofen,500mg,Injection,1532
5086,Aspirin,Amoxicillin,650mg,Tablet,3279
5087,Cetirizine,Amoxicillin,500mg,Capsule,4971
5088,Metformin,Amoxicillin,250mg,Syrup,17200
5089,Paracetamol,Ibuprofen,250mg,Injection,12205
5090,Metformin,Amoxicillin,650mg,Tablet,14605
5091,Cetirizine,Amoxicillin,650mg,Capsule,10384
5092,Aspirin,Metformin,650mg,Tablet,15002
5093,Paracetamol,Paracetamol,650mg,Capsule,1606
5094,Cetirizine,Ibuprofen,500mg,Tablet,2507
5095,Ibuprofen,Aspirin,5ml,Injection,2253
5096,Ibuprofen,Aspirin,650mg,Tablet,9994
5097,Aspirin,Metformin,500mg,Injection,5356
5098,Ibuprofen,Aspirin,5ml,Capsule,6290
5099,Paracetamol,Aspirin,650mg,Tablet,5964
5100,Aspirin,Aspirin,5ml,Syrup,7355
5101,Ibuprofen,Metformin,500mg,Tablet,12231
5102,Cetirizine,Cetirizine,250mg,Syrup,16482
5103,Metformin,Amoxicillin,650mg,Syrup,14689
5104,Ibuprofen,Metformin,250mg,Tablet,11157
5105,Paracetamol,Cetirizine,500mg,Tablet,6734
5106,Amoxicillin,Metformin,650mg,Tablet,15969
5107,Ibuprofen,Ibuprofen,250mg,Tablet,14708
5108,Ibuprofen,Amoxicillin,250mg,Capsule,1791
5109,Cetirizine,Aspirin,650mg,Capsule,6223
5110,Ibuprofen,Paracetamol,250mg,Syrup,18530
5111,Aspirin,Paracetamol,5ml,Syrup,16748
5112,Amoxicillin,Ibuprofen,650mg,Injection,3452
5113,Aspirin,Ibuprofen,5ml,Capsule,15143
5114,Amoxicillin,Ibuprofen,5ml,Capsule,10484
5115,Ibuprofen,Paracetamol,650mg,Tablet,2725
5116,Amoxicillin,Metformin,250mg,Injection,6120
5117,Metformin,Paracetamol,500mg,Injection,11317
5118,Cetirizine,Cetirizine,500mg,Tablet,7807
5119,Ibuprofen,Aspirin,5ml,Tablet,12867
5120,Ibuprofen,Amoxicillin,250mg,Capsule,8664
5121,Metformin,Cetirizine,5ml,Injection,3058
5122,Aspirin,Amoxicillin,650mg,Syrup,18026
5123,Cetirizine,Paracetamol,500mg,Capsule,15418
5124,Amoxicillin,Amoxicillin,650mg,Injection,3325
5125,Amoxicillin,Cetirizine,250mg,Tablet,15560
5126,Aspirin,Cetirizine,650mg,Tablet,2372
5127,Ibuprofen,Amoxicillin,5ml,Injection,13964
5128,Amoxicillin,Ibuprofen,500mg,Injection,6486
5129,Amoxicillin,Cetirizine,650mg,Capsule,2132
5130,Paracetamol,Amoxicillin,500mg,Capsule,7412
5131,Ibuprofen,Aspirin,250mg,Syrup,19454
5132,Paracetamol,Metformin,500mg,Tablet,9151
5133,Cetirizine,Amoxicillin,650mg,Tablet,12611
5134,Metformin,Cetirizine,500mg,Tablet,19467
5135,Cetirizine,Amoxicillin,5ml,Capsule,1516
5136,Paracetamol,Cetirizine,5ml,Tablet,6542
5137,Aspirin,Metformin,500mg,Capsule,16232
5138,Amoxicillin,Ibuprofen,250mg,Injection,9981
5139,Amoxicillin,Ibuprofen,250mg,Syrup,12004
5140,Paracetamol,Aspirin,650mg,Tablet,7446
5141,Metformin,Cetirizine,5ml,Syrup,19178
5142,Cetirizine,Amoxicillin,250mg,Injection,13536
5143,Metformin,Amoxicillin,650mg,Capsule,11637
5144,Cetirizine,Ibuprofen,500mg,Injection,19145
5145,Ibuprofen,Amoxicillin,5ml,Tablet,3250
5146,Paracetamol,Aspirin,250mg,Capsule,7650
5147,Paracetamol,Amoxicillin,250mg,Tablet,19139
5148,Ibuprofen,Ibuprofen,650mg,Tablet,12611
5149,Paracetamol,Ibuprofen,250mg,Injection,3888
5150,Metformin,Cetirizine,5ml,Injection,5898
5151,Ibuprofen,Amoxicillin,500mg,Tablet,5070
5152,Paracetamol,Metformin,650mg,Capsule,3195
5153,Amoxicillin,Amoxicillin,250mg,Injection,4549
5154,Amoxicillin,Cetirizine,5ml,Syrup,5223
5155,Metformin,Paracetamol,500mg,Injection,16091
5156,Paracetamol,Metformin,250mg,Tablet,12839
5157,Paracetamol,Ibuprofen,5ml,Syrup,472
5158,Paracetamol,Amoxicillin,250mg,Syrup,14849
5159,Paracetamol,Metformin,5ml,Tablet,7479
5160,Amoxicillin,Paracetamol,500mg,Capsule,13949
5161,Amoxicillin,Aspirin,5ml,Capsule,8070
5162,Cetirizine,Paracetamol,250mg,Injection,7551
5163,Aspirin,Amoxicillin,500mg,Syrup,16743
5164,Aspirin,Paracetamol,5ml,Tablet,16160
5165,Aspirin,Ibuprofen,250mg,Tablet,15673
5166,Paracetamol,Aspirin,250mg,Injection,1375
5167,Amoxicillin,Paracetamol,5ml,Capsule,3648
5168,Paracetamol,Ibuprofen,250mg,Injection,781
5169,Ibuprofen,Amoxicillin,650mg,Tablet,18269
5170,Amoxicillin,Ibuprofen,500mg,Syrup,11213
5171,Cetirizine,Metformin,500mg,Injection,11120
5172,Aspirin,Paracetamol,500mg,Tablet,1694
5173,Aspirin,Ibuprofen,650mg,Injection,51
5174,Paracetamol,Metformin,500mg,Injection,13384
5175,Ibuprofen,Paracetamol,5ml,Syrup,15474
5176,Cetirizine,Aspirin,5ml,Capsule,19971
5177,Metformin,Cetirizine,250mg,Tablet,9034
5178,Ibuprofen,Ibuprofen,250mg,Tablet,103
5179,Cetirizine,Paracetamol,650mg,Tablet,2583
5180,Aspirin,Paracetamol,5ml,Tablet,18744
5181,Ibuprofen,Aspirin,650mg,Syrup,12994
5182,Metformin,Amoxicillin,5ml,Tablet,12750
5183,Cetirizine,Aspirin,650mg,Syrup,6675
5184,Ibuprofen,Amoxicillin,650mg,Capsule,2574
5185,Amoxicillin,Aspirin,250mg,Capsule,10123
5186,Amoxicillin,Paracetamol,250mg,Syrup,4801
5187,Paracetamol,Paracetamol,500mg,Tablet,12306
5188,Amoxicillin,Amoxicillin,650mg,Capsule,2536
5189,Amoxicillin,Cetirizine,5ml,Tablet,154
5190,Paracetamol,Cetirizine,5ml,Syrup,17480
5191,Aspirin,Paracetamol,650mg,Capsule,16115
5192,Aspirin,Cetirizine,5ml,Injection,8115
5193,Cetirizine,Ibuprofen,250mg,Injection,12579
5194,Paracetamol,Aspirin,500mg,Capsule,14187
5195,Metformin,Cetirizine,5ml,Injection,13875
5196,Metformin,Paracetamol,500mg,Capsule,8590
5197,Ibuprofen,Paracetamol,5ml,Injection,5199
5198,Metformin,Ibuprofen,650mg,Tablet,3450
5199,Ibuprofen,Metformin,5ml,Syrup,6326
5200,Paracetamol,Amoxicillin,650mg,Syrup,17279
5201,Paracetamol,Aspirin,500mg,Injection,13109
5202,Cetirizine,Paracetamol,500mg,Injection,6644
5203,Ibuprofen,Ibuprofen,5ml,Tablet,3561
5204,Aspirin,Aspirin,5ml,Syrup,11077
5205,Ibuprofen,Ibuprofen,5ml,Injection,14491
5206,Aspirin,Cetirizine,500mg,Capsule,17897
5207,Cetirizine,Aspirin,250mg,Capsule,12829
5208,Aspirin,Metformin,650mg,Capsule,8626
5209,Cetirizine,Cetirizine,650mg,Syrup,10720
5210,Cetirizine,Paracetamol,250mg,Capsule,5306
5211,Aspirin,Ibuprofen,250mg,Syrup,18277
5212,Metformin,Cetirizine,250mg,Injection,1630
5213,Ibuprofen,Amoxicillin,5ml,Capsule,5830
5214,Paracetamol,Metformin,650mg,Tablet,3328
5215,Ibuprofen,Ibuprofen,5ml,Tablet,15423
5216,Aspirin,Metformin,500mg,Tablet,4219
5217,Paracetamol,Aspirin,500mg,Capsule,4433
5218,Amoxicillin,Ibuprofen,5ml,Capsule,14253
5219,Ibuprofen,Metformin,250mg,Syrup,14237
5220,Cetirizine,Cetirizine,500mg,Syrup,7673
5221,Ibuprofen,Ibuprofen,500mg,Capsule,11206
5222,Cetirizine,Aspirin,500mg,Tablet,14259
5223,Ibuprofen,Metformin,5ml,Capsule,11565
5224,Cetirizine,Ibuprofen,500mg,Tablet,3251
5225,Metformin,Cetirizine,500mg,Syrup,8616
5226,Amoxicillin,Ibuprofen,500mg,Capsule,18709
5227,Paracetamol,Amoxicillin,5ml,Tablet,9105
5228,Amoxicillin,Ibuprofen,500mg,Capsule,16474
5229,Ibuprofen,Aspirin,5ml,Injection,5652
5230,Cetirizine,Aspirin,250mg,Injection,4466
5231,Ibuprofen,Metformin,250mg,Capsule,7296
5232,Paracetamol,Metformin,250mg,Tablet,18797
5233,Metformin,Metformin,500mg,Capsule,19834
5234,Aspirin,Metformin,500mg,Capsule,18219
5235,Ibuprofen,Aspirin,650mg,Tablet,4077
5236,Amoxicillin,Aspirin,500mg,Injection,4868
5237,Cetirizine,Ibuprofen,500mg,Injection,3390
5238,Paracetamol,Ibuprofen,650mg,Tablet,17503
5239,Amoxicillin,Paracetamol,650mg,Syrup,5345
5240,Paracetamol,Paracetamol,500mg,Syrup,13389
5241,Amoxicillin,Cetirizine,500mg,Syrup,5493
5242,Amoxicillin,Aspirin,5ml,Syrup,1694
5243,Metformin,Aspirin,650mg,Syrup,16211
5244,Cetirizine,Amoxicillin,5ml,Tablet,5822
5245,Amoxicillin,Amoxicillin,250mg,Injection,9060
5246,Paracetamol,Aspirin,250mg,Capsule,1742
5247,Metformin,Cetirizine,5ml,Syrup,1611
5248,Paracetamol,Amoxicillin,250mg,Capsule,7244
5249,Aspirin,Paracetamol,5ml,Capsule,3191
5250,Cetirizine,Cetirizine,650mg,Injection,9780
5251,Metformin,Aspirin,5ml,Syrup,11291
5252,Aspirin,Aspirin,650mg,Syrup,5370
5253,Aspirin,Aspirin,5ml,Capsule,18312
5254,Cetirizine,Aspirin,500mg,Tablet,19195
5255,Metformin,Aspirin,250mg,Injection,17231
5256,Aspirin,Metformin,5ml,Tablet,12509
5257,Aspirin,Aspirin,5ml,Capsule,15493
5258,Amoxicillin,Amoxicillin,250mg,Injection,18503
5259,Amoxicillin,Ibuprofen,250mg,Capsule,13559
5260,Paracetamol,Cetirizine,5ml,Injection,14620
5261,Metformin,Paracetamol,500mg,Injection,7960
5262,Cetirizine,Metformin,5ml,Injection,5957
5263,Paracetamol,Aspirin,650mg,Injection,19427
5264,Amoxicillin,Amoxicillin,5ml,Tablet,702
5265,Metformin,Metformin,250mg,Syrup,5134
5266,Cetirizine,Ibuprofen,500mg,Tablet,16682
5267,Ibuprofen,Aspirin,500mg,Syrup,19038
5268,Aspirin,Ibuprofen,5ml,Tablet,19442
5269,Cetirizine,Amoxicillin,250mg,Capsule,15001
5270,Cetirizine,Amoxicillin,250mg,Capsule,4266
5271,Aspirin,Ibuprofen,650mg,Injection,19772
5272,Metformin,Aspirin,250mg,Tablet,19849
5273,Aspirin,Amoxicillin,650mg,Syrup,19434
5274,Metformin,Ibuprofen,250mg,Tablet,2826
5275,Paracetamol,Aspirin,650mg,Injection,10300
5276,Ibuprofen,Aspirin,5ml,Capsule,15830
5277,Cetirizine,Ibuprofen,5ml,Capsule,12643
5278,Metformin,Paracetamol,650mg,Syrup,14128
5279,Aspirin,Paracetamol,650mg,Capsule,13838
5280,Amoxicillin,Paracetamol,250mg,Tablet,18903
5281,Paracetamol,Aspirin,500mg,Injection,12988
5282,Paracetamol,Metformin,500mg,Capsule,10835
5283,Ibuprofen,Metformin,250mg,Capsule,5291
5284,Metformin,Paracetamol,250mg,Tablet,4512
5285,Ibuprofen,Metformin,250mg,Injection,19253
5286,Amoxicillin,Cetirizine,650mg,Capsule,3193
5287,Ibuprofen,Ibuprofen,5ml,Injection,6328
5288,Metformin,Ibuprofen,650mg,Syrup,7319
5289,Metformin,Amoxicillin,650mg,Syrup,9426
5290,Metformin,Cetirizine,5ml,Syrup,7000
5291,Amoxicillin,Paracetamol,5ml,Syrup,8398
5292,Ibuprofen,Metformin,250mg,Injection,4827
5293,Paracetamol,Amoxicillin,5ml,Injection,8614
5294,Paracetamol,Aspirin,5ml,Syrup,19364
5295,Amoxicillin,Ibuprofen,250mg,Tablet,2010
5296,Aspirin,Cetirizine,500mg,Syrup,6956
5297,Paracetamol,Ibuprofen,250mg,Tablet,19939
5298,Paracetamol,Aspirin,250mg,Capsule,18550
5299,Metformin,Cetirizine,250mg,Tablet,2670
5300,Ibuprofen,Amoxicillin,500mg,Capsule,14768
5301,Aspirin,Paracetamol,250mg,Injection,5132
5302,Cetirizine,Paracetamol,650mg,Capsule,5574
5303,Aspirin,Aspirin,500mg,Syrup,16120
5304,Cetirizine,Aspirin,650mg,Injection,15184
5305,Metformin,Metformin,650mg,Capsule,15331
5306,Ibuprofen,Amoxicillin,5ml,Syrup,11635
5307,Aspirin,Aspirin,5ml,Capsule,8115
5308,Metformin,Ibuprofen,5ml,Syrup,8786
5309,Cetirizine,Cetirizine,500mg,Injection,3910
5310,Cetirizine,Amoxicillin,250mg,Injection,15799
5311,Cetirizine,Paracetamol,250mg,Syrup,14869
5312,Ibuprofen,Ibuprofen,650mg,Syrup,12083
5313,Amoxicillin,Paracetamol,500mg,Injection,3113
5314,Aspirin,Cetirizine,250mg,Capsule,5988
5315,Cetirizine,Metformin,650mg,Tablet,11264
5316,Ibuprofen,Cetirizine,5ml,Syrup,7905
5317,Aspirin,Paracetamol,250mg,Syrup,4502
5318,Metformin,Amoxicillin,650mg,Tablet,11205
5319,Cetirizine,Ibuprofen,5ml,Tablet,7204
5320,Metformin,Metformin,250mg,Syrup,3482
5321,Metformin,Aspirin,650mg,Syrup,5534
5322,Paracetamol,Cetirizine,5ml,Syrup,9338
5323,Aspirin,Cetirizine,650mg,Syrup,2551
5324,Aspirin,Paracetamol,5ml,Tablet,19959
5325,Aspirin,Paracetamol,250mg,Injection,8752
5326,Cetirizine,Cetirizine,250mg,Injection,7924
5327,Aspirin,Amoxicillin,500mg,Capsule,5976
5328,Cetirizine,Amoxicillin,500mg,Syrup,18888
5329,Cetirizine,Metformin,500mg,Syrup,7898
5330,Metformin,Cetirizine,500mg,Capsule,7916
5331,Cetirizine,Metformin,250mg,Syrup,19966
5332,Cetirizine,Aspirin,500mg,Injection,12355
5333,Metformin,Aspirin,250mg,Syrup,3882
5334,Ibuprofen,Ibuprofen,250mg,Injection,16267
5335,Aspirin,Metformin,250mg,Tablet,17505
5336,Aspirin,Metformin,250mg,Syrup,3547
5337,Ibuprofen,Amoxicillin,5ml,Tablet,258
5338,Cetirizine,Metformin,650mg,Injection,4948
5339,Ibuprofen,Ibuprofen,500mg,Syrup,5268
5340,Metformin,Cetirizine,500mg,Injection,10252
5341,Metformin,Amoxicillin,650mg,Syrup,7462
5342,Amoxicillin,Ibuprofen,5ml,Capsule,7662
5343,Aspirin,Aspirin,5ml,Syrup,7337
5344,Aspirin,Amoxicillin,650mg,Injection,16415
5345,Metformin,Amoxicillin,250mg,Tablet,10545
5346,Aspirin,Amoxicillin,650mg,Injection,928
5347,Amoxicillin,Paracetamol,650mg,Capsule,2629
5348,Amoxicillin,Ibuprofen,650mg,Injection,11195
5349,Aspirin,Amoxicillin,5ml,Syrup,7871
5350,Aspirin,Metformin,650mg,Injection,13709
5351,Ibuprofen,Ibuprofen,250mg,Tablet,5066
5352,Metformin,Cetirizine,250mg,Syrup,18870
5353,Ibuprofen,Aspirin,500mg,Injection,5930
5354,Ibuprofen,Ibuprofen,500mg,Syrup,18627
5355,Paracetamol,Ibuprofen,500mg,Capsule,5651
5356,Cetirizine,Aspirin,650mg,Tablet,7332
5357,Cetirizine,Aspirin,500mg,Capsule,14124
5358,Paracetamol,Amoxicillin,5ml,Syrup,11014
5359,Paracetamol,Aspirin,500mg,Injection,3842
5360,Metformin,Cetirizine,650mg,Syrup,2908
5361,Metformin,Cetirizine,500mg,Syrup,12779
5362,Cetirizine,Amoxicillin,250mg,Syrup,6922
5363,Cetirizine,Metformin,250mg,Injection,10179
5364,Paracetamol,Amoxicillin,250mg,Syrup,3668
5365,Ibuprofen,Aspirin,5ml,Capsule,18227
5366,Metformin,Metformin,5ml,Injection,11035
5367,Metformin,Paracetamol,250mg,Tablet,12248
5368,Ibuprofen,Ibuprofen,250mg,Tablet,12025
5369,Amoxicillin,Ibuprofen,500mg,Capsule,16270
5370,Aspirin,Amoxicillin,250mg,Injection,4373
5371,Ibuprofen,Cetirizine,5ml,Tablet,6146
5372,Amoxicillin,Ibuprofen,5ml,Capsule,2796
5373,Metformin,Aspirin,5ml,Tablet,9152
5374,Aspirin,Amoxicillin,650mg,Injection,14478
5375,Amoxicillin,Paracetamol,500mg,Tablet,2661
5376,Amoxicillin,Cetirizine,500mg,Tablet,10551
5377,Ibuprofen,Cetirizine,5ml,Syrup,15643
5378,Cetirizine,Paracetamol,5ml,Injection,6712
5379,Amoxicillin,Amoxicillin,500mg,Tablet,6816
5380,Paracetamol,Amoxicillin,250mg,Injection,15034
5381,Metformin,Amoxicillin,5ml,Syrup,10634
5382,Ibuprofen,Ibuprofen,250mg,Injection,14943
5383,Cetirizine,Ibuprofen,5ml,Capsule,10049
5384,Amoxicillin,Ibuprofen,500mg,Syrup,10710
5385,Paracetamol,Amoxicillin,250mg,Tablet,9662
5386,Cetirizine,Paracetamol,500mg,Capsule,13889
5387,Paracetamol,Ibuprofen,650mg,Tablet,14768
5388,Metformin,Paracetamol,250mg,Syrup,8929
5389,Aspirin,Ibuprofen,500mg,Capsule,2429
5390,Amoxicillin,Aspirin,250mg,Syrup,8712
5391,Paracetamol,Cetirizine,5ml,Syrup,11548
5392,Metformin,Paracetamol,500mg,Syrup,10574
5393,Cetirizine,Cetirizine,650mg,Syrup,7541
5394,Amoxicillin,Cetirizine,650mg,Tablet,15807
5395,Cetirizine,Metformin,500mg,Syrup,14998
5396,Metformin,Metformin,650mg,Syrup,10723
5397,Paracetamol,Cetirizine,500mg,Capsule,3154
5398,Ibuprofen,Paracetamol,250mg,Syrup,9681
5399,Cetirizine,Amoxicillin,650mg,Syrup,14327
5400,Amoxicillin,Aspirin,500mg,Tablet,17502
5401,Ibuprofen,Metformin,5ml,Tablet,2729
5402,Metformin,Amoxicillin,250mg,Injection,9543
5403,Cetirizine,Metformin,500mg,Capsule,15165
5404,Aspirin,Cetirizine,250mg,Tablet,16137
5405,Ibuprofen,Cetirizine,500mg,Capsule,2610
5406,Aspirin,Amoxicillin,5ml,Syrup,9471
5407,Metformin,Ibuprofen,250mg,Tablet,12758
5408,Paracetamol,Paracetamol,250mg,Injection,7192
5409,Ibuprofen,Amoxicillin,5ml,Tablet,18077
5410,Ibuprofen,Amoxicillin,250mg,Injection,3570
5411,Ibuprofen,Amoxicillin,250mg,Tablet,4243
5412,Amoxicillin,Ibuprofen,5ml,Injection,1808
5413,Paracetamol,Amoxicillin,5ml,Injection,10736
5414,Ibuprofen,Aspirin,500mg,Capsule,15730
5415,Paracetamol,Ibuprofen,650mg,Tablet,4300
5416,Ibuprofen,Paracetamol,650mg,Capsule,13411
5417,Metformin,Ibuprofen,250mg,Injection,9142
5418,Paracetamol,Amoxicillin,250mg,Tablet,238
5419,Paracetamol,Aspirin,250mg,Injection,8474
5420,Aspirin,Cetirizine,250mg,Injection,13191
5421,Paracetamol,Aspirin,650mg,Injection,13241
5422,Ibuprofen,Ibuprofen,5ml,Syrup,9062
5423,Paracetamol,Cetirizine,500mg,Syrup,3749
5424,Cetirizine,Cetirizine,250mg,Tablet,2405
5425,Cetirizine,Metformin,250mg,Tablet,2692
5426,Amoxicillin,Ibuprofen,5ml,Injection,7462
5427,Amoxicillin,Cetirizine,500mg,Injection,18768
5428,Amoxicillin,Aspirin,500mg,Tablet,11131
5429,Paracetamol,Aspirin,5ml,Injection,17598
5430,Metformin,Aspirin,500mg,Syrup,624
5431,Amoxicillin,Aspirin,650mg,Syrup,16112
5432,Amoxicillin,Amoxicillin,650mg,Syrup,13183
