id,clinic_name,clinic_address_1
1671,"Wood, Payne and Rice Clinic","No.296/1, 46, Ambedkar Main Road, Alagar Kovil Road, KK Nagar, Madurai, Tamil Nadu - 625011. Ph: 0452-9117526"
1672,"Rodriguez-Olson Clinic","No.717/1, 28, Ambedkar Old Street, Poonamallee High Road, Mylapore, Chennai, Tamil Nadu - 600091. Ph: 044-7459099"
1673,"Bowen-Rodriguez Clinic","No.855/B, 9, Bharathiar Market Street, Kumbakonam Road, Papanasam, Tiruvarur, Tamil Nadu - 611246. Ph: 04366-5915448"
1674,"Smith Group Clinic","No.577, 29, Anna Gandhi Road, Charing Cross Road, Coonoor, Nilgiris, Tamil Nadu - 643029. Ph: 0423-6807888"
1675,"Simpson and Sons Clinic","No.989/1, 19, Patel Raja Street, Courtallam Road, Kadayanallur, Tenkasi, Tamil Nadu - 627841. Ph: 04633-9679661"
1676,"White, Barnett and Jensen Clinic","No.170/2, 7, Indira 1st Street, Bye Pass Road, Sankarankovil, Tirunelveli, Tamil Nadu - 627011. Ph: 0462-6663378"
1677,"Taylor and Sons Clinic","No.2/B, 41, Rajaji 2nd Street, Hospital Road, Tirupathur, Tirupathur, Tamil Nadu - 635744. Ph: 04179-8175479"
1678,"Olsen-Lopez Clinic","No.530/B, 40, Periyar Raja Street, Junction Road, Tirunelveli, Tirunelveli, Tamil Nadu - 627001. Ph: 0462-7637329"
1679,"Alvarez Inc Clinic","No.241, 6, Anna Bazaar Street, Melapalayam, Tirunelveli, Tirunelveli, Tamil Nadu - 627003. Ph: 0462-8789456"
1680,"Ward-Whitney Clinic","No.35/2, 49, Kamaraj South Street, Hospital Road, Udayarpalayam, Ariyalur, Tamil Nadu - 621726. Ph: 04329-2560171"
1681,"Rodriguez, Humphrey and Garcia Clinic","No.876/B, 35, Bharathiar Raja Street, Salai Road, Perambalur, Tiruchirappalli, Tamil Nadu - 620022. Ph: 0431-2622200"
1682,"White, Ballard and Arias Clinic","No.698, 19, Gandhi North Street, Mattuthavani Road, Paravai, Madurai, Tamil Nadu - 625018. Ph: 0452-8983893"
1683,"Martin and Sons Clinic","No.299, 25, Rajiv Big Street, Maruthamalai Road, Gandhipuram, Coimbatore, Tamil Nadu - 641074. Ph: 0422-7968211"
1684,"Savage PLC Clinic","No.666/A, 8, Vinayagar South Street, Commercial Road, Coonoor, Nilgiris, Tamil Nadu - 643090. Ph: 0423-5128993"
1685,"Walters-Powers Clinic","No.310/1, 43, Periyar Cross Street, Old Mahabalipuram Road, T.Nagar, Chennai, Tamil Nadu - 600107. Ph: 044-4483074"
1686,"Kelley PLC Clinic","No.2/2, 50, Anna Tank Street, Ekambaranatha Kovil Street, Uthiramerur, Kancheepuram, Tamil Nadu - 631542. Ph: 044-4177714"
1687,"Krueger, Rubio and Webster Clinic","No.681/B, 6, Rajiv School Road, Salai Road, Trichy, Tiruchirappalli, Tamil Nadu - 620007. Ph: 0431-9038544"
1688,"Gonzalez-Lambert Clinic","No.877/1, 9, Gandhi West Street, Omalur Road, Suramangalam, Salem, Tamil Nadu - 636005. Ph: 0427-9778604"
1689,"Herman-Duncan Clinic","No.733/2, 34, Subash Market Street, Kangeyam Road, Palladam, Tiruppur, Tamil Nadu - 641626. Ph: 0421-7715966"
1690,"Peterson-Cervantes Clinic","No.967, 46, Subash Raja Street, Krishnagiri Road, Vaniyambadi, Tirupathur, Tamil Nadu - 635837. Ph: 04179-4694221"
1691,"Jensen-Gilmore Clinic","No.992/A, 35, Periyar Main Road, Bypass Road, Kurumbalur, Perambalur, Tamil Nadu - 621137. Ph: 04328-8488079"
1692,"Morgan and Sons Clinic","No.745/B, 1, Rajiv Bazaar Street, Market Street, Tirupathur, Tirupathur, Tamil Nadu - 635810. Ph: 04179-4594708"
1693,"Freeman, Murray and Johns Clinic","No.971/B, 35, Shiva Kamaraj Road, Perambalur Road, Jayankondam, Ariyalur, Tamil Nadu - 621719. Ph: 04329-7671119"
1694,"Davis-George Clinic","No.376/1, 7, Gandhi School Road, Hospital Road, Aranthangi, Pudukottai, Tamil Nadu - 622251. Ph: 04322-3255477"
1695,"Stephens, Prince and Chase Clinic","No.344/1, 17, Gandhi Hospital Road, Beach Road, Ottapidaram, Thoothukudi, Tamil Nadu - 628172. Ph: 0461-5700041"
1696,"Mullins Group Clinic","No.585/1, 22, Mariamman Tank Street, Gandhi Street, Kallakurichi, Villupuram, Tamil Nadu - 605086. Ph: 04146-8523672"
1697,"Jackson, Mitchell and Hayes Clinic","No.986, 48, Bharathiar Big Street, Periyar Bus Stand Road, Paravai, Madurai, Tamil Nadu - 625015. Ph: 0452-3416558"
1698,"Johnson-Dickson Clinic","No.440/1, 10, Ambedkar Old Street, Anna Salai, Chromepet, Chennai, Tamil Nadu - 600083. Ph: 044-8095820"
1699,"Gross-Thomas Clinic","No.861, 10, Murugan Market Street, Gandhi Nagar, Ariyalur, Ariyalur, Tamil Nadu - 621713. Ph: 04329-2065975"
1700,"Thompson, Tapia and Grant Clinic","No.931/1, 17, Mariamman New Street, Gandhi Nagar, T.Nagar, Chennai, Tamil Nadu - 600043. Ph: 044-6359398"
1701,"Daniels, Espinoza and Cox Clinic","No.189/2, 10, Rajaji 3rd Street, Rajiv Gandhi Salai, Royapettah, Chennai, Tamil Nadu - 600078. Ph: 044-3804209"
1702,"Smith-Wright Clinic","No.288/B, 19, Kamaraj Nehru Street, 2nd Cross Street, T.Nagar, Chennai, Tamil Nadu - 600095. Ph: 044-8254948"
1703,"Jones, Moore and Sutton Clinic","No.201, 4, Indira 2nd Street, Bharathidasan Road, Trichy, Tiruchirappalli, Tamil Nadu - 620024. Ph: 0431-2162572"
1704,"Nelson LLC Clinic","No.387, 35, Vinayagar Market Street, SIPCOT Road, Denkanikottai, Krishnagiri, Tamil Nadu - 635016. Ph: 04343-7664909"
1705,"Dudley-Finley Clinic","No.536/B, 3, Shiva Anna Street, Kilnathur Road, Tiruvannamalai, Tiruvannamalai, Tamil Nadu - 606874. Ph: 04175-2275363"
1706,"Mcdaniel, Dixon and Lopez Clinic","No.666/2, 37, Rajaji Raja Street, Perundurai Road, Erode, Erode, Tamil Nadu - 638007. Ph: 0424-8216121"
1707,"Garcia, Chen and Berry Clinic","No.813, 45, Rajaji West Street, Perundurai Road, Gobichettipalayam, Erode, Tamil Nadu - 638004. Ph: 0424-4607992"
1708,"Smith-Parks Clinic","No.115/B, 8, Nehru North Street, Chennai Road, Arcot, Ranipet, Tamil Nadu - 632511. Ph: 04172-7850304"
1709,"Delgado Ltd Clinic","No.946, 10, Indira Nehru Street, Pillayar Koil Street, Chengalpet, Kancheepuram, Tamil Nadu - 631560. Ph: 044-2577470"
1710,"Williams PLC Clinic","No.282, 41, Mariamman Kovil Street, Race Course Road, Mettupalayam, Coimbatore, Tamil Nadu - 641019. Ph: 0422-3908283"
1711,"Rogers-Martinez Clinic","No.754/B, 34, Vinayagar Bazaar Street, Trichy Road, Peelamedu, Coimbatore, Tamil Nadu - 641107. Ph: 0422-3942330"
1712,"Garcia, Jones and Carpenter Clinic","No.12/A, 50, Indira Cross Street, Trichy Road, Tiruppattur, Sivaganga, Tamil Nadu - 630189. Ph: 04575-9768578"
1713,"Valencia-Flynn Clinic","No.558/1, 9, Rajiv 2nd Street, Chinthamani Road, KK Nagar, Tiruchirappalli, Tamil Nadu - 620024. Ph: 0431-6298662"
1714,"Jones, Williams and Glenn Clinic","No.30, 16, Periyar 1st Street, Club Road, Pandalur, Nilgiris, Tamil Nadu - 643135. Ph: 0423-6587554"
1715,"Garrett-Evans Clinic","No.337/1, 47, Nehru Gandhi Road, Old Bus Stand Road, Kadavur, Karur, Tamil Nadu - 639055. Ph: 04324-4763782"
1716,"Walsh LLC Clinic","No.320, 15, Murugan Cross Street, Cauvery Road, Gobichettipalayam, Erode, Tamil Nadu - 638002. Ph: 0424-4007316"
1717,"Mendoza-Mcdaniel Clinic","No.913/A, 15, Vinayagar North Street, 2nd Cross Street, T.Nagar, Chennai, Tamil Nadu - 600096. Ph: 044-2504929"
1718,"Gillespie-Williams Clinic","No.64, 23, Gandhi Nehru Street, Poonamallee High Road, Nungambakkam, Chennai, Tamil Nadu - 600091. Ph: 044-8394031"
1719,"Delacruz and Sons Clinic","No.171, 36, Gandhi Raja Street, Hospital Road, Jayankondam, Ariyalur, Tamil Nadu - 621713. Ph: 04329-2883108"
1720,"Cervantes, Miller and Lee Clinic","No.310/1, 13, Rajaji Main Road, Maruthamalai Road, Mettupalayam, Coimbatore, Tamil Nadu - 641030. Ph: 0422-5621948"
1721,"Rowe, Parker and Flynn Clinic","No.137, 24, Perumal 1st Street, Market Street, Rasipuram, Namakkal, Tamil Nadu - 637265. Ph: 04286-9416859"
1722,"Nunez Group Clinic","No.997, 33, Nehru Bazaar Street, Gandhi Road, Theni, Theni, Tamil Nadu - 625543. Ph: 04546-3776418"
1723,"Parker-Rollins Clinic","No.646/A, 3, Vivekananda Hospital Road, Oppanakara Street, Sulur, Coimbatore, Tamil Nadu - 641047. Ph: 0422-5379544"
1724,"Miller LLC Clinic","No.971/1, 18, Nehru Anna Street, Periyar Bus Stand Road, Vadipatti, Madurai, Tamil Nadu - 625015. Ph: 0452-5724091"
1725,"Fowler, Mills and Simmons Clinic","No.147, 29, Murugan Kamaraj Road, Old Mahabalipuram Road, Ambattur, Chennai, Tamil Nadu - 600075. Ph: 044-8011280"
1726,"Goodwin-Swanson Clinic","No.204/1, 4, MGR South Street, DB Road, Mettupalayam, Coimbatore, Tamil Nadu - 641091. Ph: 0422-8728210"
1727,"Perez-Best Clinic","No.515/1, 42, Bharathiar 1st Street, Trichy Road, Tirupur, Coimbatore, Tamil Nadu - 641084. Ph: 0422-5077863"
1728,"Costa Group Clinic","No.294/1, 45, Rajiv Raja Street, Cauvery Road, Sathyamangalam, Erode, Tamil Nadu - 638011. Ph: 0424-6695097"
1729,"Thompson, Nelson and Marshall Clinic","No.490/1, 23, Mariamman Big Street, Villupuram Road, Ulundurpet, Kallakurichi, Tamil Nadu - 606205. Ph: 04151-3197244"
1730,"Edwards-Brown Clinic","No.221, 16, Rajiv 2nd Street, Hospital Street, Valangaiman, Tiruvarur, Tamil Nadu - 612260. Ph: 04366-6476966"
1731,"Hayes, Ward and Love Clinic","No.165/A, 29, Rajaji East Street, Hospital Road, Chidambaram, Cuddalore, Tamil Nadu - 607106. Ph: 04142-6864738"
1732,"Hicks-Kim Clinic","No.984/2, 31, Bharathiar Cross Street, Nanjikottai Road, Budalur, Thanjavur, Tamil Nadu - 613006. Ph: 04362-2533543"
1733,"Ramirez-Chung Clinic","No.90/B, 14, Periyar 2nd Street, Trichy Road, Pattukottai, Thanjavur, Tamil Nadu - 613003. Ph: 04362-8257996"
1734,"Fisher-Stephens Clinic","No.538/B, 34, APJ Kalam Kamaraj Road, Rajiv Gandhi Salai, Chennai, Chennai, Tamil Nadu - 600058. Ph: 044-2920233"
1735,"Cole, May and Harper Clinic","No.256/1, 34, Vinayagar Bazaar Street, Maruthamalai Road, Singanallur, Coimbatore, Tamil Nadu - 641044. Ph: 0422-2616377"
1736,"Boone, Hughes and Nash Clinic","No.325, 40, Ambedkar 3rd Street, Arcot Road, Vaniyambadi, Vellore, Tamil Nadu - 632002. Ph: 0416-9331189"
1737,"Reynolds-Peterson Clinic","No.481, 5, Nehru School Road, Gandhi Nagar, Sendurai, Ariyalur, Tamil Nadu - 621708. Ph: 04329-5120080"
1738,"Sosa and Sons Clinic","No.338/A, 47, Gandhi Cross Street, Kalavasal, Arapalayam, Madurai, Tamil Nadu - 625008. Ph: 0452-3762218"
1739,"Howell Group Clinic","No.678/B, 3, APJ Kalam Market Street, Perumal Koil Street, Suramangalam, Salem, Tamil Nadu - 636009. Ph: 0427-6633978"
1740,"Contreras Group Clinic","No.95/B, 44, Gandhi North Street, Kamaraj Salai, KK Nagar, Madurai, Tamil Nadu - 625009. Ph: 0452-6235480"
1741,"Baker PLC Clinic","No.673/2, 19, Anna Raja Street, DB Road, Tirupur, Coimbatore, Tamil Nadu - 641008. Ph: 0422-8879085"
1742,"Wise-Ellison Clinic","No.251, 20, Ambedkar Cross Street, Erode Road, Kadavur, Karur, Tamil Nadu - 639093. Ph: 04324-3224106"
1743,"Trujillo-Palmer Clinic","No.74/1, 10, Perumal Nehru Street, Market Street, Karaikudi, Sivaganga, Tamil Nadu - 630270. Ph: 04575-8002090"
1744,"Jackson, Cobb and Frye Clinic","No.412/2, 6, Gandhi Old Street, Saradha College Road, Fairlands, Salem, Tamil Nadu - 636014. Ph: 0427-3343162"
1745,"Ward Inc Clinic","No.366, 30, Vivekananda South Street, Bypass Road, Perambalur, Perambalur, Tamil Nadu - 621165. Ph: 04328-2568370"
1746,"Cruz, Keller and Wilson Clinic","No.389/B, 20, Perumal Cross Street, Big Bazaar Street, RS Puram, Coimbatore, Tamil Nadu - 641113. Ph: 0422-6248208"
1747,"Snow-Morris Clinic","No.532, 45, Rajaji Big Street, Bypass Road, Nemili, Ranipet, Tamil Nadu - 632455. Ph: 04172-6358383"
1748,"Mason, Roy and Hill Clinic","No.278/A, 20, Ambedkar Nehru Street, Kamaraj Road, Dharapuram, Tiruppur, Tamil Nadu - 641674. Ph: 0421-9060320"
1749,"Alexander, Alexander and Carter Clinic","No.128/2, 46, Perumal New Street, Bypass Road, Kurumbalur, Perambalur, Tamil Nadu - 621194. Ph: 04328-9470879"
1750,"Cole LLC Clinic","No.811, 2, Murugan Gandhi Road, Chennai Road, Cheyyar, Tiruvannamalai, Tamil Nadu - 606312. Ph: 04175-4403104"
1751,"Hanson-Howard Clinic","No.13/B, 22, Indira Gandhi Road, South Veli Street, Arapalayam, Madurai, Tamil Nadu - 625016. Ph: 0452-6429989"
1752,"Kelly Inc Clinic","No.478/A, 46, Periyar Anna Street, Williams Road, KK Nagar, Tiruchirappalli, Tamil Nadu - 620024. Ph: 0431-4275072"
1753,"Rojas, Cuevas and Vasquez Clinic","No.683/B, 7, APJ Kalam Hospital Road, Ammapet, Rasipuram, Salem, Tamil Nadu - 636005. Ph: 0427-7751358"
1754,"Ramos Group Clinic","No.551/1, 13, MGR Periyar Street, VIT Road, Vaniyambadi, Vellore, Tamil Nadu - 632013. Ph: 0416-3720959"
1755,"Carter, Klein and Patel Clinic","No.41/2, 9, Rajiv New Street, South Veli Street, Anna Nagar, Madurai, Tamil Nadu - 625021. Ph: 0452-8686978"
1756,"Brown, Little and Jordan Clinic","No.68/B, 37, Ambedkar West Street, Salem Road, Rasipuram, Namakkal, Tamil Nadu - 637276. Ph: 04286-3683629"
1757,"Drake and Sons Clinic","No.168, 5, Kamaraj Tank Street, Collectorate Road, Pudukkottai, Pudukottai, Tamil Nadu - 622058. Ph: 04322-5330948"
1758,"Long Inc Clinic","No.218/B, 15, Perumal Cross Street, Krishnagiri Road, Jolarpettai, Tirupathur, Tamil Nadu - 635734. Ph: 04179-6471140"
1759,"White-Gaines Clinic","No.746/B, 45, Periyar East Street, Bharathidasan Road, KK Nagar, Tiruchirappalli, Tamil Nadu - 620004. Ph: 0431-4406749"
1760,"Perez and Sons Clinic","No.2/1, 2, APJ Kalam Ambedkar Road, Trichy Road, Thirumayam, Pudukottai, Tamil Nadu - 622409. Ph: 04322-8876405"
1761,"Humphrey, Moon and Stevens Clinic","No.811/B, 5, Perumal Market Street, Salem Road, Pennagaram, Dharmapuri, Tamil Nadu - 636756. Ph: 04342-9968746"
1762,"Bennett and Sons Clinic","No.182/A, 16, Shiva Periyar Street, DB Road, Saibaba Colony, Coimbatore, Tamil Nadu - 641076. Ph: 0422-2382990"
1763,"Smith, Young and Reynolds Clinic","No.248, 24, Murugan Old Street, Officers Line, Gudiyatham, Vellore, Tamil Nadu - 632003. Ph: 0416-6854211"
1764,"Castro PLC Clinic","No.788, 49, Periyar Market Street, Race Course Road, Pollachi, Coimbatore, Tamil Nadu - 641112. Ph: 0422-7860503"
1765,"Thompson, Church and Mcconnell Clinic","No.482, 40, Vivekananda Anna Street, Bharathidasan Road, KK Nagar, Tiruchirappalli, Tamil Nadu - 620011. Ph: 0431-3236231"
1766,"Jacobs LLC Clinic","No.537/2, 31, Indira 2nd Street, Cauvery Road, Perundurai, Erode, Tamil Nadu - 638001. Ph: 0424-3925509"
1767,"Torres-Gay Clinic","No.194/1, 1, Patel West Street, Alagar Kovil Road, Madurai, Madurai, Tamil Nadu - 625002. Ph: 0452-4258423"
1768,"Morrow PLC Clinic","No.843/B, 37, Rajiv East Street, Mettu Street, Perambalur, Tiruchirappalli, Tamil Nadu - 620015. Ph: 0431-3475717"
1769,"Perry-Martinez Clinic","No.513/B, 29, Shiva 3rd Street, Avinashi Road, Coimbatore, Coimbatore, Tamil Nadu - 641021. Ph: 0422-2000951"
1770,"Moore-Allen Clinic","No.150/2, 3, Mariamman Bazaar Street, Bye Pass Road, Palayamkottai, Tirunelveli, Tamil Nadu - 627007. Ph: 0462-2169004"
1771,"Mitchell-Perry Clinic","No.602, 12, Nehru 3rd Street, Old Mahabalipuram Road, Avadi, Chennai, Tamil Nadu - 600109. Ph: 044-6325591"
1772,"Kirby LLC Clinic","No.920/1, 48, Vinayagar Hospital Road, Old Mahabalipuram Road, Porur, Chennai, Tamil Nadu - 600072. Ph: 044-5606959"
1773,"Reyes LLC Clinic","No.675/1, 43, Subash Kovil Street, Car Street, Mayiladuthurai, Mayiladuthurai, Tamil Nadu - 609510. Ph: 04364-5177823"
1774,"Russell, Mendez and King Clinic","No.697/B, 2, Vinayagar Gandhi Road, Tirunelveli Road, Sankarankovil, Tenkasi, Tamil Nadu - 627811. Ph: 04633-4009997"
1775,"Huffman PLC Clinic","No.134/1, 22, Patel Ambedkar Road, Bypass Road, Pappireddipatti, Dharmapuri, Tamil Nadu - 636723. Ph: 04342-5923346"
1776,"Cannon, Mcconnell and Morris Clinic","No.356/A, 42, Murugan Main Road, Anna Salai, Avadi, Chennai, Tamil Nadu - 600101. Ph: 044-4610033"
1777,"Lynch, Little and Nguyen Clinic","No.157/1, 40, APJ Kalam Ambedkar Road, Bypass Road, Nemili, Ranipet, Tamil Nadu - 632408. Ph: 04172-4654544"
1778,"Nelson-Walter Clinic","No.793/1, 44, Periyar South Street, Perumal Koil Street, Attur, Salem, Tamil Nadu - 636002. Ph: 0427-7216772"
1779,"Richards PLC Clinic","No.917, 28, APJ Kalam Raja Street, Nehru Street, Tirupur, Coimbatore, Tamil Nadu - 641048. Ph: 0422-6958104"
1780,"Hall LLC Clinic","No.515/2, 4, Periyar Gandhi Road, Station Road, Jolarpettai, Tirupathur, Tamil Nadu - 635645. Ph: 04179-7273843"
1781,"Pena Inc Clinic","No.866, 13, Periyar Old Street, Rajiv Gandhi Salai, Tambaram, Chennai, Tamil Nadu - 600031. Ph: 044-6170448"
1782,"Patel LLC Clinic","No.579/B, 26, Bharathiar Hospital Road, Hospital Road, Kumbakonam, Thanjavur, Tamil Nadu - 613009. Ph: 04362-4508128"
1783,"Kelley-Martin Clinic","No.330, 2, Nehru Big Street, Hospital Street, Sirkazhi, Nagapattinam, Tamil Nadu - 611002. Ph: 04365-4848602"
1784,"Johnston-Lozano Clinic","No.881/A, 33, Vinayagar Periyar Street, Kamaraj Road, Palladam, Tiruppur, Tamil Nadu - 641635. Ph: 0421-5146646"
1785,"Morales-Lewis Clinic","No.516/A, 7, Murugan Tank Street, Kagithapuram, Wallajah, Vellore, Tamil Nadu - 632014. Ph: 0416-7657330"
1786,"Taylor, Smith and Finley Clinic","No.476/2, 15, Periyar School Road, VOC Road, Perundurai, Erode, Tamil Nadu - 638011. Ph: 0424-8772612"
1787,"Mason-Johnston Clinic","No.233, 5, Vinayagar 2nd Street, Hospital Road, Ambur, Tirupathur, Tamil Nadu - 635808. Ph: 04179-2129150"
1788,"Hunter-Gallegos Clinic","No.865/2, 31, Mariamman Kovil Street, Promenade Road, Thillai Nagar, Tiruchirappalli, Tamil Nadu - 620021. Ph: 0431-8554576"
1789,"Cooper, Walker and Sexton Clinic","No.559, 45, Rajaji Raja Street, Gandhi Nagar, Vellore, Vellore, Tamil Nadu - 632010. Ph: 0416-7238970"
1790,"Kennedy, Pearson and Flores Clinic","No.461/2, 25, Indira Ambedkar Road, SIPCOT Road, Hosur, Krishnagiri, Tamil Nadu - 635103. Ph: 04343-2139499"
1791,"Carroll-Robbins Clinic","No.614, 26, Nehru Raja Street, Shevapet, Omalur, Salem, Tamil Nadu - 636009. Ph: 0427-6459807"
1792,"Delgado PLC Clinic","No.70, 6, Mariamman West Street, Gandhi Nagar, Velachery, Chennai, Tamil Nadu - 600049. Ph: 044-7674218"
1793,"Hall Group Clinic","No.879/2, 10, Ambedkar Periyar Street, Bazaar Street, Gingee, Villupuram, Tamil Nadu - 605280. Ph: 04146-6071515"
1794,"White-Gentry Clinic","No.120/1, 19, Subash West Street, 1st Main Road, Royapettah, Chennai, Tamil Nadu - 600078. Ph: 044-4314833"
1795,"Carter-Smith Clinic","No.935/B, 36, Gandhi Kamaraj Road, Medical College Road, Papanasam, Thanjavur, Tamil Nadu - 613003. Ph: 04362-4105903"
1796,"Robinson, Adams and Reyes Clinic","No.416/B, 4, Patel Big Street, Nehru Street, Kinathukadavu, Coimbatore, Tamil Nadu - 641076. Ph: 0422-9500468"
1797,"Smith LLC Clinic","No.455, 28, Anna Nehru Street, Anna Salai, Porur, Chennai, Tamil Nadu - 600011. Ph: 044-9240367"
1798,"Stanley, Anderson and Schroeder Clinic","No.576/A, 38, Vivekananda Main Road, GST Road, Chennai, Chennai, Tamil Nadu - 600038. Ph: 044-3232638"
1799,"Burton, Joseph and Ruiz Clinic","No.90/A, 25, Vivekananda South Street, Beach Road, Nagapattinam, Nagapattinam, Tamil Nadu - 611059. Ph: 04365-5088956"
1800,"Garcia-Ortega Clinic","No.248/2, 10, Rajiv East Street, South Veli Street, Thirumangalam, Madurai, Tamil Nadu - 625018. Ph: 0452-6998966"
1801,"Larson-Thomas Clinic","No.698/2, 11, Subash East Street, Nethaji Road, Bhavani, Erode, Tamil Nadu - 638010. Ph: 0424-5295396"
1802,"Tapia-Keller Clinic","No.653, 30, Mariamman School Road, Cauvery Road, Gobichettipalayam, Erode, Tamil Nadu - 638011. Ph: 0424-9638645"
1803,"Johnson PLC Clinic","No.794/2, 39, Periyar Kamaraj Road, Gandhi Street, Tindivanam, Villupuram, Tamil Nadu - 605386. Ph: 04146-2052959"
1804,"Burns Inc Clinic","No.784/2, 46, Vinayagar Bazaar Street, Bangalore Road, Krishnagiri, Krishnagiri, Tamil Nadu - 635123. Ph: 04343-5538965"
1805,"Chan-Peterson Clinic","No.49, 12, Murugan Ambedkar Road, DB Road, Coimbatore, Coimbatore, Tamil Nadu - 641021. Ph: 0422-9386221"
1806,"Marquez, Smith and Lambert Clinic","No.191, 45, APJ Kalam Periyar Street, Cauvery Road, Sathyamangalam, Erode, Tamil Nadu - 638005. Ph: 0424-6530633"
1807,"Luna, Smith and Mcgee Clinic","No.821/2, 19, Indira Kamaraj Road, Nehru Street, Coimbatore, Coimbatore, Tamil Nadu - 641081. Ph: 0422-8172424"
1808,"Mitchell-Allen Clinic","No.930/2, 22, Kamaraj Periyar Street, Hospital Road, Alangulam, Tenkasi, Tamil Nadu - 627843. Ph: 04633-3580629"
1809,"Mann and Sons Clinic","No.80, 11, Indira Raja Street, Cross Cut Road, Coimbatore, Coimbatore, Tamil Nadu - 641037. Ph: 0422-3565354"
1810,"Tanner, Berger and Clark Clinic","No.579, 48, Murugan Gandhi Road, Kalavasal, Melur, Madurai, Tamil Nadu - 625019. Ph: 0452-8330074"
1811,"Christensen-Becker Clinic","No.931/2, 42, APJ Kalam Tank Street, Vannarpettai, Nanguneri, Tirunelveli, Tamil Nadu - 627004. Ph: 0462-3784203"
1812,"Hester-Figueroa Clinic","No.8/2, 9, Vinayagar North Street, Krishnagiri Road, Dharmapuri, Dharmapuri, Tamil Nadu - 636806. Ph: 04342-3111474"
1813,"Johnson Ltd Clinic","No.837/1, 50, Nehru North Street, Periyar Bus Stand Road, Arapalayam, Madurai, Tamil Nadu - 625017. Ph: 0452-3290396"
1814,"Irwin, Daugherty and Watson Clinic","No.709/1, 18, Rajiv Anna Street, Bypass Road, Vedasandur, Dindigul, Tamil Nadu - 624207. Ph: 0451-3902380"
1815,"Chapman Inc Clinic","No.855, 2, Anna Kovil Street, Anna Salai, Velachery, Chennai, Tamil Nadu - 600042. Ph: 044-4506955"
1816,"Gould-Sharp Clinic","No.437, 49, Kamaraj 3rd Street, Mundy Street, Theni, Theni, Tamil Nadu - 625508. Ph: 04546-7215088"
1817,"Nguyen PLC Clinic","No.644/2, 13, Vivekananda 2nd Street, Sathyamangalam Road, Mettupalayam, Coimbatore, Tamil Nadu - 641059. Ph: 0422-2003827"
1818,"Swanson Group Clinic","No.770, 17, Shiva West Street, Villupuram Road, Sankarapuram, Kallakurichi, Tamil Nadu - 606206. Ph: 04151-6388216"
1819,"Clark-Brown Clinic","No.136/B, 6, Gandhi 2nd Street, Madurai Road, Aranthangi, Pudukottai, Tamil Nadu - 622243. Ph: 04322-3165958"
1820,"Gonzalez, Mcintosh and Rosales Clinic","No.838/1, 29, Murugan Periyar Street, VIT Road, Wallajah, Vellore, Tamil Nadu - 632010. Ph: 0416-3104877"
1821,"Dunn and Sons Clinic","No.975/A, 37, Vinayagar Anna Street, Kamaraj Salai, Usilampatti, Madurai, Tamil Nadu - 625014. Ph: 0452-3474322"
1822,"Robinson LLC Clinic","No.564, 22, Ambedkar New Street, GST Road, Nungambakkam, Chennai, Tamil Nadu - 600044. Ph: 044-5783584"
1823,"Wright-Neal Clinic","No.675/2, 10, Anna Anna Street, Market Street, Alathur, Perambalur, Tamil Nadu - 621121. Ph: 04328-4506183"
1824,"Mclaughlin, Woods and Hamilton Clinic","No.705, 25, Periyar Kamaraj Road, Beach Road, Mayiladuthurai, Nagapattinam, Tamil Nadu - 611091. Ph: 04365-9869936"
1825,"Morris-Arnold Clinic","No.152, 16, Rajiv Cross Street, Mount Road, Adyar, Chennai, Tamil Nadu - 600107. Ph: 044-6965919"
1826,"Cain LLC Clinic","No.54/1, 7, Ambedkar South Street, Cross Cut Road, Annur, Coimbatore, Tamil Nadu - 641087. Ph: 0422-7997965"
1827,"Schneider-Simpson Clinic","No.183/A, 46, Ambedkar School Road, Beach Road, Tharangambadi, Nagapattinam, Tamil Nadu - 611012. Ph: 04365-2618190"
1828,"Wu, Avila and Herrera Clinic","No.622, 43, Rajiv Market Street, Anna Salai, Avadi, Chennai, Tamil Nadu - 600001. Ph: 044-5620649"
1829,"Neal, Johnson and Hull Clinic","No.178/B, 14, Indira West Street, GST Road, Royapettah, Chennai, Tamil Nadu - 600041. Ph: 044-5755207"
1830,"Gomez Group Clinic","No.961/1, 14, Anna Tank Street, SIPCOT Road, Denkanikottai, Krishnagiri, Tamil Nadu - 635048. Ph: 04343-4439476"
1831,"Roberts, Taylor and Brown Clinic","No.591/2, 38, APJ Kalam Nehru Street, Cherry Road, Omalur, Salem, Tamil Nadu - 636015. Ph: 0427-5156966"
1832,"Martin-Kane Clinic","No.159/B, 23, MGR North Street, Bypass Road, Alangulam, Tenkasi, Tamil Nadu - 627832. Ph: 04633-3283238"
1833,"Doyle, Schaefer and Harris Clinic","No.304, 9, Vinayagar Tank Street, Anna Salai, Tambaram, Chennai, Tamil Nadu - 600042. Ph: 044-8255952"
1834,"Robinson-Morris Clinic","No.972, 1, Rajaji Gandhi Road, Bypass Road, Aravakurichi, Karur, Tamil Nadu - 639018. Ph: 04324-9999650"
1835,"Herrera, Greene and Ramsey Clinic","No.767, 49, Indira School Road, Salai Road, Lalgudi, Tiruchirappalli, Tamil Nadu - 620002. Ph: 0431-6113234"
